,updates
2268,520941
2269,164543
2270,376241
2271,464242
2272,458349
2273,514159
2274,439406
2275,140227
2276,381380
2277,436489
2278,421585
2279,414081
2280,412900
2281,376551
2282,225899
2283,372702
2284,516306
2285,247233
2286,495849
2287,398404
2288,417253
2289,285641
2290,510741
2291,220402
2292,371935
2293,574274
2294,470317
2295,464256
2296,425283
2297,525426
2298,404812
2299,415959
2300,568141
2301,368887
2302,461710
2303,586412
2304,491360
2305,466429
2306,375134
2307,331937
2308,57737
2309,324930
2310,472554
2311,416588
2312,509313
2313,476567
2314,538779
2315,396369
2316,355800
2317,531562
2318,224421
2319,480322
2320,393214
2321,455322
2322,375125
2323,448087
2324,599409
2325,512005
2326,453625
2327,439173
2328,286636
2329,264948
2330,591138
2331,458674
2332,381223
2333,476902
2334,335468
2335,421209
2336,451102
2337,187507
2338,425224
2339,251198
2340,306005
2341,191604
2342,355668
2343,535996
2344,129678
2345,365188
2346,459762
2347,431747
2348,492183
2349,585249
2350,440680
2351,752988
2352,520177
2353,320150
2354,339605
2355,488017
2356,345443
2357,410163
2358,394531
2359,479608
2360,275808
2361,369538
2362,399054
2363,516590
2364,260234
2365,229119
2366,532049
2367,343443
2368,248607
2369,388561
2370,629916
2371,399947
2372,452050
2373,468623
2374,587087
2375,234917
2376,257720
2377,335892
2378,556223
2379,503079
2380,510909
2381,404730
2382,221352
2383,535453
2384,428809
2385,389995
2386,481830
2387,596493
2388,491001
2389,474340
2390,344124
2391,198478
2392,503578
2393,528707
2394,362237
2395,503735
2396,574814
2397,446737
2398,366832
2399,455653
2400,230619
2401,576463
2402,272310
2403,336386
2404,621870
2405,367492
2406,432362
2407,475208
2408,37942
2409,172183
2410,388624
2411,208130
2412,527379
2413,652901
2414,304443
2415,450311
2416,349748
2417,464008
2418,139093
2419,344858
2420,635157
2421,536879
2422,355437
2423,578968
2424,421673
2425,472966
2426,380574
2427,372203
2428,486267
2429,381878
2430,405356
2431,279273
2432,570905
2433,601483
2434,488564
2435,569656
2436,541826
2437,368193
2438,294492
2439,455968
2440,425123
2441,477594
2442,322707
2443,406177
2444,556725
2445,355770
2446,185783
2447,427960
2448,208315
2449,188318
2450,569138
2451,83296
2452,149600
2453,445331
2454,341572
2455,431294
2456,220365
2457,336464
2458,202073
2459,140141
2460,578485
2461,442089
2462,528532
2463,431350
2464,400362
2465,379160
2466,424073
2467,377964
2468,558627
2469,173062
2470,499259
2471,468577
2472,212601
2473,556317
2474,489631
2475,443963
2476,272084
2477,513877
2478,603686
2479,326623
2480,486451
2481,581651
2482,378691
2483,373915
2484,511083
2485,517764
2486,415475
2487,442826
2488,456399
2489,364874
2490,216312
2491,376192
2492,336357
2493,555090
2494,642315
2495,213322
